Sales Person,Geography,Product,Date,Amount,Customers,Boxes
Barr Faughny,New Zealand,Raspberry Choco,1/1/2021,8414.00,276,495
Dennison Crosswaite,Canada,White Choc,1/1/2021,532.00,317,54
Karlen McCaffrey,USA,99% Dark & Pure,1/1/2021,5376.00,178,269
Barr Faughny,New Zealand,Baker's Choco Chips,1/1/2021,259.00,32,22
Beverie Moffet,USA,Manuka Honey Choco,1/1/2021,5530.00,4,179
Rafaelita Blaksland,India,85% Dark Bars,1/1/2021,2184.00,63,122
Oby Sorrel,UK,Raspberry Choco,1/1/2021,1057.00,295,71
Dotty Strutley,Australia,Organic Choco Syrup,1/1/2021,1036.00,370,37
Brien Boise,Australia,Caramel Stuffed Bars,1/1/2021,4039.00,536,176
Curtice Advani,New Zealand,Milk Bars,1/1/2021,12894.00,115,478
Madelene Upcott,USA,Milk Bars,1/1/2021,4669.00,121,180
Wilone O'Kielt,New Zealand,Organic Choco Syrup,1/1/2021,6377.00,184,246
Jehu Rudeforth,Canada,Mint Chip Choco,1/1/2021,4599.00,106,256
Jehu Rudeforth,USA,Orange Choco,1/1/2021,2751.00,228,251
Brien Boise,India,Eclairs,1/1/2021,15596.00,32,975
Curtice Advani,India,After Nines,1/1/2021,8561.00,111,330
Camilla Castle,UK,Mint Chip Choco,1/1/2021,14273.00,335,752
Dennison Crosswaite,New Zealand,85% Dark Bars,1/1/2021,2506.00,99,148
Beverie Moffet,Canada,Spicy Special Slims,1/1/2021,2387.00,134,89
Andria Kimpton,USA,Drinking Coco,1/1/2021,7553.00,67,280
Jehu Rudeforth,New Zealand,Peanut Butter Cubes,1/1/2021,3409.00,93,171
Kelci Walkden,USA,Peanut Butter Cubes,1/1/2021,3878.00,24,216
Karlen McCaffrey,USA,Raspberry Choco,1/1/2021,3052.00,76,204
Madelene Upcott,USA,Choco Coated Almonds,1/4/2021,19229.00,64,1013
Kelci Walkden,UK,Choco Coated Almonds,1/4/2021,1988.00,179,95
Karlen McCaffrey,UK,Orange Choco,1/4/2021,147.00,9,11
Oby Sorrel,UK,Fruit & Nut Bars,1/4/2021,2401.00,407,134
Husein Augar,USA,Caramel Stuffed Bars,1/4/2021,2814.00,296,94
Curtice Advani,UK,Caramel Stuffed Bars,1/4/2021,5390.00,61,216
Van Tuxwell,Canada,50% Dark Bites,1/4/2021,3920.00,16,262
Beverie Moffet,Canada,70% Dark Bites,1/4/2021,7539.00,502,943
Van Tuxwell,India,Organic Choco Syrup,1/5/2021,17248.00,163,664
Madelene Upcott,UK,Almond Choco,1/5/2021,1176.00,152,66
Rafaelita Blaksland,Australia,85% Dark Bars,1/5/2021,9730.00,361,573
Marney O'Breen,New Zealand,85% Dark Bars,1/5/2021,2226.00,129,140
Madelene Upcott,UK,Fruit & Nut Bars,1/5/2021,7063.00,250,643
Kaine Padly,New Zealand,After Nines,1/5/2021,7399.00,420,275
Wilone O'Kielt,USA,Orange Choco,1/5/2021,4284.00,230,306
Kaine Padly,New Zealand,Raspberry Choco,1/5/2021,4865.00,168,271
Curtice Advani,New Zealand,70% Dark Bites,1/5/2021,3780.00,111,315
Jan Morforth,India,Orange Choco,1/5/2021,3059.00,484,279
Husein Augar,UK,After Nines,1/5/2021,6622.00,57,276
Wilone O'Kielt,India,Smooth Sliky Salty,1/6/2021,644.00,116,34
Ches Bonnell,India,After Nines,1/6/2021,4935.00,87,171
Jan Morforth,UK,Peanut Butter Cubes,1/6/2021,7182.00,29,378
Andria Kimpton,Australia,Orange Choco,1/6/2021,539.00,10,77
Oby Sorrel,UK,70% Dark Bites,1/6/2021,637.00,79,91
Kaine Padly,USA,Baker's Choco Chips,1/6/2021,1470.00,57,184
Brien Boise,USA,85% Dark Bars,1/6/2021,1442.00,108,61
Husein Augar,USA,Smooth Sliky Salty,1/6/2021,9023.00,224,564
Gunar Cockshoot,UK,Milk Bars,1/6/2021,2709.00,27,101
